,T_coeff,alpha,attempts,course_id,cumgame_coeff,dirvar_coeff,intercept,l1,mse,n_iter,n_values,player,precip_coeff,prediction_score,removed_corr,wgust_coeff,wspd_coeff,wx_impact
1247,0.0,0.0,0.0,2,0.0,0.0,68.0,0.0,7.000000000000001,0.0,0,Nick Cheney,0.0,0.0,0.0,0.0,0.0,0.0
1248,0.0,0.0,0.0,0,0.0,0.0,61.666666666666664,0.0,12.333333333333336,0.0,3,Oliver Uribe,0.0,0.0,0.0,0.0,0.0,0.0
1249,0.0,0.0,0.0,1,0.0,0.0,61.666666666666664,0.0,12.333333333333336,0.0,0,Oliver Uribe,0.0,0.0,0.0,0.0,0.0,0.0
1250,0.0,0.0,0.0,2,0.0,0.0,61.666666666666664,0.0,12.333333333333336,0.0,0,Oliver Uribe,0.0,0.0,0.0,0.0,0.0,0.0
1251,0.0,0.0,0.0,0,0.0,0.0,67.0,0.0,28.547822339223522,0.0,1,Rob Levander,0.0,0.0,0.0,0.0,0.0,0.0
1252,0.0,0.0,0.0,1,0.0,0.0,67.0,0.0,37.30478395061729,0.0,0,Rob Levander,0.0,0.0,0.0,0.0,0.0,0.0
1253,0.0,0.0,0.0,2,0.0,0.0,67.0,0.0,37.30478395061729,0.0,0,Rob Levander,0.0,0.0,0.0,0.0,0.0,0.0
1254,0.0,0.0,0.0,0,-2.357142857142857,0.0,67.5,0.0,14.877551020408163,0.0,7,Sylvain Pelletier,0.0,0.5990099009900991,0.0,0.0,0.0,0.0
1255,0.0,0.0,0.0,1,0.0,0.0,60.42857142857143,0.0,43.28571428571429,0.0,0,Sylvain Pelletier,0.0,0.0,0.0,0.0,0.0,0.0
1256,0.0,0.0,0.0,2,0.0,0.0,60.42857142857143,0.0,43.28571428571429,0.0,0,Sylvain Pelletier,0.0,0.0,0.0,0.0,0.0,0.0
1257,0.0,0.0,0.0,0,0.0,0.0,80.66666666666667,0.0,41.333333333333336,0.0,3,Troy Heine,0.0,0.0,0.0,0.0,0.0,0.0
1258,0.0,0.0,0.0,1,0.0,0.0,80.66666666666667,0.0,41.333333333333336,0.0,0,Troy Heine,0.0,0.0,0.0,0.0,0.0,0.0
1259,0.0,0.0,0.0,2,0.0,0.0,80.66666666666667,0.0,41.333333333333336,0.0,0,Troy Heine,0.0,0.0,0.0,0.0,0.0,0.0
1260,0.0,0.0,0.0,0,0.0,0.0,100.0,0.0,28.547822339223522,0.0,1,Wes Miller,0.0,0.0,0.0,0.0,0.0,0.0
1261,0.0,0.0,0.0,1,0.0,0.0,100.0,0.0,37.30478395061729,0.0,0,Wes Miller,0.0,0.0,0.0,0.0,0.0,0.0
1262,0.0,0.0,0.0,2,0.0,0.0,100.0,0.0,37.30478395061729,0.0,0,Wes Miller,0.0,0.0,0.0,0.0,0.0,0.0
1263,0.0,0.0,0.0,0,0.0,0.0,62.0,0.0,28.547822339223522,0.0,1,Aaron Keigher,0.0,0.0,0.0,0.0,0.0,0.0
1264,0.0,0.0,0.0,1,0.0,0.0,62.0,0.0,37.30478395061729,0.0,0,Aaron Keigher,0.0,0.0,0.0,0.0,0.0,0.0
1265,0.0,0.0,0.0,2,0.0,0.0,62.0,0.0,37.30478395061729,0.0,0,Aaron Keigher,0.0,0.0,0.0,0.0,0.0,0.0
1266,0.0,0.0,0.0,0,0.0,0.0,64.0,0.0,28.547822339223522,0.0,1,Misha Wilkinson,0.0,0.0,0.0,0.0,0.0,0.0
1267,0.0,0.0,0.0,1,0.0,0.0,64.0,0.0,37.30478395061729,0.0,0,Misha Wilkinson,0.0,0.0,0.0,0.0,0.0,0.0
1268,0.0,0.0,0.0,2,0.0,0.0,64.0,0.0,37.30478395061729,0.0,0,Misha Wilkinson,0.0,0.0,0.0,0.0,0.0,0.0
1269,0.0,0.0,0.0,0,0.0,0.0,56.0,0.0,28.547822339223522,0.0,1,Tristan Kolkhorst,0.0,0.0,0.0,0.0,0.0,0.0
1270,0.0,0.0,0.0,1,0.0,0.0,56.0,0.0,37.30478395061729,0.0,0,Tristan Kolkhorst,0.0,0.0,0.0,0.0,0.0,0.0
1271,0.0,0.0,0.0,2,0.0,0.0,56.0,0.0,37.30478395061729,0.0,0,Tristan Kolkhorst,0.0,0.0,0.0,0.0,0.0,0.0
1272,0.0,0.0,0.0,0,0.0,0.0,110.0,0.0,28.547822339223522,0.0,1,Bella Brenner,0.0,0.0,0.0,0.0,0.0,0.0
1273,0.0,0.0,0.0,1,0.0,0.0,110.0,0.0,37.30478395061729,0.0,0,Bella Brenner,0.0,0.0,0.0,0.0,0.0,0.0
1274,0.0,0.0,0.0,2,0.0,0.0,110.0,0.0,37.30478395061729,0.0,0,Bella Brenner,0.0,0.0,0.0,0.0,0.0,0.0
1275,0.0,0.0,0.0,0,0.0,0.0,86.0,0.0,9.0,0.0,3,Brent Snead,0.0,0.0,0.0,0.0,0.0,0.0
1276,0.0,0.0,0.0,1,0.0,0.0,86.0,0.0,9.0,0.0,0,Brent Snead,0.0,0.0,0.0,0.0,0.0,0.0
1277,0.0,0.0,0.0,2,0.0,0.0,86.0,0.0,9.0,0.0,0,Brent Snead,0.0,0.0,0.0,0.0,0.0,0.0
1278,0.0,0.0,0.0,0,0.0,0.0,65.0,0.0,28.547822339223522,0.0,1,Devon Saucedo,0.0,0.0,0.0,0.0,0.0,0.0
1279,0.0,0.0,0.0,1,0.0,0.0,65.0,0.0,37.30478395061729,0.0,0,Devon Saucedo,0.0,0.0,0.0,0.0,0.0,0.0
1280,0.0,0.0,0.0,2,0.0,0.0,65.0,0.0,37.30478395061729,0.0,0,Devon Saucedo,0.0,0.0,0.0,0.0,0.0,0.0
1281,0.0,0.0,0.0,0,0.0,0.0,56.0,0.0,2.0000000000000004,0.0,2,Drew Stancliffe,0.0,0.0,0.0,0.0,0.0,0.0
1282,0.0,0.0,0.0,1,0.0,0.0,56.0,0.0,2.0000000000000004,0.0,0,Drew Stancliffe,0.0,0.0,0.0,0.0,0.0,0.0
1283,0.0,0.0,0.0,2,0.0,0.0,56.0,0.0,2.0000000000000004,0.0,0,Drew Stancliffe,0.0,0.0,0.0,0.0,0.0,0.0
1284,0.0,0.0,0.0,0,0.0,0.0,62.0,0.0,32.00000000000001,0.0,2,Erik Rommz,0.0,0.0,0.0,0.0,0.0,0.0
1285,0.0,0.0,0.0,1,0.0,0.0,62.0,0.0,32.00000000000001,0.0,0,Erik Rommz,0.0,0.0,0.0,0.0,0.0,0.0
1286,0.0,0.0,0.0,2,0.0,0.0,62.0,0.0,32.00000000000001,0.0,0,Erik Rommz,0.0,0.0,0.0,0.0,0.0,0.0
1287,0.0,0.0,0.0,0,0.0,0.0,59.0,0.0,28.547822339223522,0.0,1,Jacob Farleigh,0.0,0.0,0.0,0.0,0.0,0.0
